composer_name	nationality	birth	death
Albert Dupuis	Belgian	1877	1967
Luka Marohnić	unknown	1982	-
Joseph Nicholas Fried	unknown	1950	-
Alphonse Maurice	unknown	1856	1905
Dmitry Melkikh	Russian	1885	1943
Jan van Boom	Swedish	1807	1872
Marshall Fine	unknown	1956	2014
Henry Du Mont	Belgian	1610	1684
Sergey Lyapunov	Russian	1859	1924
Aleksandr Borodin	Russian	1833	1887
Anton Rée	Danish	1820	1886
Lennart Lundberg	Swedish	1863	1931
Adolphe Blanc	French	1828	1885
Friedrich Kiel	German	1821	1885
Giulio Segni	Italian	1498	1561
Joseph Schad	French	1812	1879
Pietro Yon	Italian	1886	1943
Albert Gumble	American	1883	1946
Sigismund Neukomm	Austrian	1778	1858
Ernest Harry Adams	American	1886	1959
Felix Mendelssohn	German	1809	1847
Sergey Aksakov	Russian	1891	1968
Jules Walter	unknown	unknown	unknown
Joseph Deszczyński	Polish	1781	1844
Antonio Sacchini	Italian	1730	1786
Fyodor Gedike	unknown	unknown	unknown
Jan Brandts Buys	Austrian	1868	1933
Edmond Duval	unknown	1809	1873
Julius von Kolb	unknown	1831	1864
Oley Speaks	American	1874	1948
Tomás Damas	Spanish	1825	1890
Luigi Barbieri	Italian	unknown	unknown
George Arthur Barker	British	1812	1876
Franklin Morris Class	American	1920	2018
Arthur Garnier	French	1755	1825
Karel Knittl	Czech	1853	1907
Sophie Lucile Larmande-Des Argus	French	1820	1835
Anton Rubinstein	Russian	1829	1894
Johann Strauss Sr.	Austrian	1804	1849
Ludolf Nielsen	Danish	1876	1939
Ernst Toch	Austrian	1887	1964
George William Warren	unknown	unknown	unknown
Christian Cappelen	unknown	1845	1916
Adolph Nathan	unknown	unknown	unknown
Yasuzumi Tokubi	unknown	unknown	unknown
Wilhelm Kuhe	unknown	unknown	unknown
Benjamin S. Beckman	unknown	unknown	unknown
Richard Barthélemy	Italian	1869	1912
Alfred Grünfeld	Austrian	1852	1906
Dmitry Blagoy	unknown	1930	1986
Léo Delibes	French	1836	1891
Oscar Lorenzo Fernández	Brazilian	1897	1948
Egidio Franzot	unknown	unknown	unknown
Anselmo González del Valle	unknown	unknown	unknown
Iosif Ivanovici	Romanian	1845	1902
Knut Håkanson	unknown	unknown	unknown
Jaime Enrique Kardontchik	unknown	unknown	unknown
Henri Ghys	unknown	unknown	unknown
Fumio Hayasaka	Japanese	1914	1955
Joseph Kromolicki	unknown	1882	1961
Arthur Somervell	British	1863	1937
Friedrich Burgmüller	German	1806	1874
Peter Dyson	unknown	unknown	unknown
Alfred Margis	unknown	1874	1913
Stephen Jackman	unknown	unknown	unknown
Józef Wieniawski	Polish	1837	1912
Óscar de la Cinna	unknown	unknown	unknown
Wendelin Bitzan	unknown	unknown	unknown
Jakub Kowalewski	unknown	unknown	unknown
Grigor Arakelian	unknown	unknown	unknown
Guillaume de Machaut	French	1300	1377
August Eberhard Müller	German	1767	1817
Felix Weingartner	Austrian	1863	1942
Boyton Smith	unknown	unknown	unknown
Fyodor Könemann	Russian	1873	1937
Johann Heinrich Luft	unknown	unknown	unknown
Irénée Bergé	French	1867	1926
Charles Koechlin	French	1867	1950
Cornelius Gurlitt	German	1820	1901
John Alden Carpenter	American	1876	1951
Leon P. Braun	unknown	unknown	unknown
Mark Alburger	American	1957	2010
Alfred Lebeau	unknown	unknown	unknown
A. Warvaky	unknown	unknown	unknown
Max Pauer	unknown	1866	1945
Frederick Septimus Kelly	Australian	1881	1908
W. M. Rice	unknown	unknown	unknown
Matheus André Reichert	unknown	unknown	unknown
Etilmon Justus Stark	unknown	1867	1962
Sylvius Leopold Weiss	Austrian	1687	1750
Elfrida Andrée	Swedish	1841	1929
Emil Wiegand	unknown	unknown	unknown
Otto Zweig	unknown	1874	1942
Karl Andreas Stein	unknown	unknown	unknown
Henryk Melcer-Szczawiński	Polish	1869	1928
Isidor Philipp	French	1160	1236
Jean Roger-Ducasse	French	1873	1954
Vassili Barvinski	Ukrainian	1888	1963
César Cui	unknown	unknown	unknown
Auguste Durand	French	1830	1909
Gabriel Verdalle	unknown	unknown	unknown
Enea Gardana	unknown	1843	1901
Mildred Hill	American	1859	1916
Felice Boghen	unknown	unknown	unknown
Camillo Sivori	Italian	1815	1894
Vinzenz Lachner	American	1811	1893
Albert Sowinski	unknown	1805	1880
Léon-Hermann-René Moonen	unknown	unknown	unknown
Heinrich von Herzogenberg	Austrian	1843	1900
Wilhelm Friedemann Bach	German	1710	1784
Johann Franz Xaver Sterkel	German	1750	1817
August Harder	unknown	1775	1813
Jesse J. Hamilton	unknown	unknown	unknown
Leonid Nikolayev	Russian	1878	1942
Heinrich Carl Breidenstein	unknown	1796	1876
Aleksandr Griboyedov	Russian	1795	1829
August Friedrich Reiser	unknown	unknown	unknown
Marco Facoli	Italian	unknown	unknown
D.J. Marcolesco	unknown	unknown	unknown
Joseph Rummel	unknown	unknown	unknown
Louis-Claude Daquin	French	1694	1772
York Bowen	British	1884	1961
Wladislaw Leszczewski	unknown	unknown	unknown
Alessandro Longo	Italian	1864	1945
Robert Bremner	British	1713	1789
Charles Coote	unknown	unknown	unknown
Gottlob Harrer	unknown	1703	1755
Mathieu Chartier	unknown	unknown	unknown
Géza Horváth	unknown	1868	1925
Shoryu Itazu	unknown	unknown	unknown
Clara Kathleen Rogers	American	1844	1931
Frederick Arthur Williams	American	1869	1942
Louis Raffy	unknown	1868	1931
Frédéric Boscovitz	unknown	unknown	unknown
Matias Ekert	unknown	unknown	unknown
C. V. Hayden	unknown	unknown	unknown
Simone Stella	unknown	unknown	unknown
Milton Ager	American	1893	1979
Blas María de Colomer	unknown	1833	1917
Bernard van Dieren	British	1887	1936
Jens-Ole Malmgren	Danish	unknown	unknown
Shuwen Zhang	unknown	unknown	unknown
Michael Aaron	unknown	unknown	unknown
Arthur Fickenscher	American	1871	1954
Vasily Zolotarev	Russian	1872	1964
Muzio Clementi	Italian	1752	1832
Albert Landry	unknown	unknown	unknown
Margaret Ruthven Lang	American	1867	1972
Heinrich Neal	German	1870	1940
Pedro Miguel Quijano	unknown	unknown	unknown
Illarion Kozlov	unknown	unknown	unknown
Felix Körling	unknown	unknown	unknown
João Domingos Bomtempo	Portuguese	1775	1842
John Herbert Major	unknown	unknown	unknown
Jason Chen	unknown	unknown	unknown
Clyde Thomas Rollins	unknown	unknown	unknown
Max Laurischkus	unknown	unknown	unknown
Ludovic de Vaux	unknown	unknown	unknown
Henri Nuyens	unknown	unknown	unknown
Georgy Dulov	unknown	1875	1940
Bernhard Wolff	unknown	unknown	unknown
Jan Blockx	Belgian	1851	1912
Carl Kämmerer	unknown	unknown	unknown
Charles Voss	unknown	1815	1882
José Vianna da Motta	Portuguese	1868	1948
Moriz Rosenthal	Polish	1862	1946
H.C. Frommel	unknown	unknown	unknown
Achilles Alferaki	unknown	unknown	unknown
Amanda Kennedy	unknown	unknown	unknown
Ernest Bloch	American	1880	1959
Albert Périlhou	French	1846	1936
Martin Pierre Dalvimare	unknown	unknown	unknown
Félix Godefroid	Belgian	1818	1897
Eduardo Fabini	unknown	1882	1950
Oscar Franz	unknown	unknown	unknown
Johannes Vincenet	unknown	unknown	unknown
Ernest Richard Kroeger	American	1862	1934
Noble Wickham Kreider	unknown	unknown	unknown
Zoltán Kodály	Hungarian	1882	1945
Inga Lærum-Liebich	unknown	unknown	unknown
Tadeusz Joteyko	unknown	1872	1932
Frédéric Brisson	unknown	unknown	unknown
Theodor Kirchner	German	1823	1903
Clara B. Stackhouse	unknown	unknown	unknown
Kiyosul Tamai	unknown	unknown	unknown
Mary Wurm	British	1860	1938
Johann Baptist Vanhal	unknown	1739	1813
Fridolin Braungardt	unknown	unknown	unknown
René de Boisdeffre	French	1838	1906
Oscar Fetrás	German	1854	1931
Easthope Martin	British	1882	1925
Jelly Roll Morton	American	1890	1941
Eyvind Alnæs	Norwegian	1872	1932
Egon Wellesz	Austrian	1885	1974
Henry Lodge	American	1885	1933
Friedrich Joseph Kirmair	unknown	1770	1814
Albert Parlow	German	1824	1888
George Botsford	American	1874	1949
Salvador Martínez García	Spanish	1962	-
Vincenzo dal Pozzo	Italian	1585	1612
F. E. Vanderbeck	unknown	unknown	unknown
Gyula Beliczay	Hungarian	1835	1893
Ali Riza Saral	unknown	1960	-
Aleksey Zhilin	Russian	1766	1848
Octave Fouque	unknown	1844	1883
James L. King	unknown	unknown	unknown
Richard Hofmann	German	1844	1918
Johann Baptist Henneberg	Austrian	1768	1822
Thomas Dyke Acland Tellefsen	Norwegian	1823	1874
Aleksey Kartsev	Russian	1883	1953
Igor Stravinsky	Russian	1882	1971
Wilhelm Heintze	Swedish	1849	1895
George Frideric Handel	British	1685	1759
Alfred Patusset	French	1853	1924
Henri Bertini	French	1798	1876
Alexandre Charles Fessy	French	1804	1856
Victor Alphonse Duvernoy	French	1842	1907
Oskar Kolberg	Polish	1814	1890
E. H. Frey	American	unknown	unknown
Aloys Schmitt	German	1788	1866
Aleksandr Shenshin	Russian	1890	1944
Johann Friedrich Hugo von Dalberg	German	1760	1812
Julio Ituarte	Mexican	1845	1905
Arnold Mendelssohn	German	1855	1933
Edewede Oriwoh	Nigerian	unknown	unknown
Adele Lewing	German	1868	1943
Stephen W. Beatty	unknown	1938	-
Jean Henri Ravina	French	1818	1906
Jacques Charlot	unknown	unknown	unknown
John Kinross	unknown	unknown	unknown
Carl Mikuli	Ukrainian	1821	1897
Joseph Siegmund Bachmann	German	1754	1825
Thomas Weelkes	British	1576	1623
Daniel Dugenne	unknown	unknown	unknown
Mieczysław Dukszta	unknown	unknown	unknown
José María Echeverría	Spanish	1855	1946
Vincent d' Indy	French	1851	1931
Antonio Rotta	Italian	1495	1549
Alphonse Hasselmans	French	1845	1912
Pierre François Clodomir	French	1815	1884
Adele aus der Ohe	German	1861	1937
Ruth Crawford Seeger	American	1901	1953
William Mason	American	1829	1908
Robert Henriques	Danish	1858	1914
Benjamin Igielman	unknown	unknown	unknown
Hugo Daffner	German	1882	1936
Franz Schmidt	Austrian	1874	1939
Amilcare Ponchielli	Italian	1834	1886
Joseph Canteloube	French	1879	1957
Józef Elsner	Polish	1769	1854
William Baines	British	1899	1922
Maarten Smit	Dutch	1959	-
Hermann Spielter	American	1860	1925
Langton Williams	unknown	1832	1896
André Coedès-Mongin	unknown	1871	1954
Alfred Harry Harding	unknown	1855	1930
Victorin de Joncières	French	1839	1903
Nicholas Locke	unknown	unknown	unknown
Henry Carey	British	1687	1743
Carl Reinecke	German	1824	1910
Yulian Scriabin	Russian	1908	1919
Camille Chevillard	French	1859	1923
Renard L'Eonale	unknown	unknown	unknown
Hermann Berens	German	1826	1880
Henrique Alves de Mesquita	Brazilian	1830	1906
Victor Staub	French	1872	1953
Shaofan Qi	Chinese	1988	-
Leander Schlegel	Dutch	1844	1913
Benjamin Robertson Harney	American	1872	1938
Jean-Baptiste Faure	French	1830	1914
Paul Jäkel	unknown	unknown	unknown
Charles Piroye	French	1668	1730
William C. Stahl	American	1869	1940
George Aitken	British	1882	unknown
Gustav Flügel	German	1812	1900
Philip Ernst	unknown	1792	1868
Arnold Schoenberg	Austrian	1874	1951
Charles Dupee Blake	American	1847	1903
Domenico Sodero	unknown	unknown	unknown
Kazimierz Henisz	unknown	unknown	unknown
Giampietro Tonoli	unknown	unknown	unknown
Gastone Bernheimer	unknown	1880	1939
Edouard Mathé	unknown	1863	1936
Aleksandr Chesnokov	French	1877	1944
Alba Rosa Viëtor	Italian	1889	1979
William O. Bateman	American	1860	1947
Frederic Knight Logan	American	1871	1928
Richard Stöhr	Austrian	1874	1967
Oskar von Riesemann	unknown	1880	1934
Edward Taylor Paull	American	1858	1924
Renaud de Vilbac	French	1829	1884
Mario Macchi	unknown	unknown	unknown
Joseph W. Turner	British	1775	1851
Alfred Holý	Portuguese	1866	1948
Joseph Chen Buchheit	unknown	unknown	unknown
Francisco Guerrero	Spanish	1528	1599
Adolf Barjansky	Russian	1851	1900
Laurence Hibbard Montague	unknown	unknown	unknown
James Hook	British	1746	1827
Marc Delmas	French	1885	1931
Alex Barrow	unknown	unknown	unknown
Carl Schuberth	German	1806	1850
Francesco Soriano	Italian	1549	1621
Robert Morrison Stults	American	1861	1933
Louis Théodore Gouvy	French	1819	1898
Jacques Boyvin	French	1640	1706
Miguel Santiago Arévalo	American	1843	1900
Sergey Prokofiev	Russian	1891	1953
Lucrecia Roces Kasilag	Filipino	1917	2008
Pietro Paolo Bencini	Italian	1675	1755
Max Bruch	German	1838	1920
F. Péru	Peruvian	1918	2019
Gor Hovhannisyan	Armenian	1975	-
Durand De Grau	unknown	unknown	unknown
Johann Abraham Sixt	German	1757	1797
Edmund Schuëcker	Austrian	1860	1911
William Smallwood	unknown	1831	1897
Fernando Sor	Spanish	1778	1839
Jan Pieterszoon Sweelinck	Dutch	1562	1621
José Miguel Moreno Sabio	Spanish	1955	-
Georges Bachmann	French	1848	1894
Niels Gade	Danish	1817	1890
Liza Lehmann	British	1862	1918
Joachim Pettoletti	Italian	1792	1870
Harold Dennis Shores III	unknown	unknown	unknown
Percy Elliott	unknown	unknown	unknown
Ruggiero Leoncavallo	Italian	1857	1919
Dmytro Bortniansky	Russian	1751	1825
Ivan Khandoshkin	Russian	1747	1804
Franz Simon Molitor	German	1766	1848
Charles Arthur Rawlings	British	1858	1919
Franz Xaver Chwatal	Bohemian	1808	1879
Giovanni Francesco Anerio	Italian	1567	1630
Salvador Marmolejo	unknown	unknown	unknown
Friedrich Nietzsche	German	1844	1900
Theodor Leschetizky	Polish	1830	1915
Justin Bru	French	1831	1870
Rosendo Mendizábal	Argentine	1868	1913
Luigi Boccherini	Italian	1743	1805
Hinrich Philip Johnsen	Swedish	1717	1779
Jeff Manookian	American	1953	-
Alan Gray	British	1855	1935
Francesco Spinacino	Italian	1485	unknown
Konrad Max Kunz	German	1812	1875
Jules Cazenaud	unknown	unknown	unknown
Johann Kaspar Mertz	Austrian	1806	1856
Richard Krentzlin	German	1864	1956
Holger Stief	unknown	unknown	unknown
Erik Satie	French	1866	1925
Ramiro Schiavoni	Uruguayan	unknown	unknown
Felipe Slimobich	unknown	unknown	unknown
Michał Kleofas Ogiński	Polish	1765	1833
Christoph Lahme	unknown	unknown	unknown
Friedrich Baumfelder	German	1836	1916
Max Meyer-Olbersleben	German	1850	1927
Joseph Victor Marie Ryelandt	Belgian	1870	1965
George Howard Clutsam	Australian	1866	1951
Michel Rondeau	Canadian	1948	-
Néstor Guestrin	unknown	unknown	unknown
Felix Petyrek	Austrian	1892	1951
Federico Mompou	Spanish	1893	1987
Will Held	unknown	unknown	unknown
Coloman Chován	Hungarian	1852	1928
August Wilhelmj	German	1845	1908
Mehmet K. Okonsar	Turkish	1961	-
William Appo	American	1808	1871
Paul Graener	German	1872	1944
Bernhard Klein	German	1793	1832
Michael Jelski	Belarusian	1831	1904
James Hewitt	American	1770	1827
Leokadiya Kashperova	Russian	1872	1940
Uuno Klami	Finnish	1900	1961
Alexander Robert Nicholson-Ward	unknown	unknown	unknown
Charles Collin	British	1874	1923
Matteo Unetti	unknown	unknown	unknown
Ernesto Drangosch	Argentine	1882	1925
Gustav Friedrich Kogel	Russian	1849	1921
Sid Brown	unknown	unknown	unknown
Hermann Goetz	German	1840	1876
Dinu Lipatti	Romanian	1917	1950
Louis-Emmanuel Jadin	French	1768	1853
Auguste Descarries	Canadian	1896	1958
Roy Vanegas	unknown	unknown	unknown
Carl Friedrich Hartung	unknown	unknown	unknown
Peter Cavallo	German	1819	1892
Charles Malinowski	unknown	unknown	unknown
Alexander Carlisle White	unknown	unknown	unknown
Jean-Baptiste Arban	French	1825	1889
Hamish MacCunn	British	1868	1916
Johann Schop	German	1590	1667
René Esclavy	unknown	unknown	1927
Fred O. Oehler	unknown	unknown	unknown
Karol Kurpiński	Polish	1785	1857
Boris Shekhter	Russian	1900	1961
Grant Groberg	unknown	unknown	unknown
Franz Danzi	German	1763	1826
Edward Smith Hall	unknown	unknown	unknown
Richard Eilenberg	German	1848	1927
Ignaz Pleyel	Austrian	1757	1831
Lodewijk Mortelmans	Belgian	1868	1952
Christian Heinrich Rinck	German	1770	1846
Robert de Visée	French	1650	1725
Billy Joseph Mayerl	British	1902	1959
Borghild Holmsen	Norwegian	1865	1938
Richard Oscar Burdick	American	1961	-
Emile Enthoven	Dutch	1903	1950
Allan Macbeth	British	1819	1897
Farid Zehar	French	1973	-
Adolf von Henselt	German	1814	1889
Joachim Raff	German	1822	1882
William ten Have	Dutch	1831	1924
Carlos Seixas	Portuguese	1704	1742
Ella Brier	Australian	1880	1970
Napoleon Rutkowski	unknown	1868	1931
Konstantin Joachim Gaul	unknown	unknown	unknown
Louis Spohr	German	1784	1859
Johann Mattheson	German	1681	1764
Georges Delbruck	unknown	1883	1913
George Jervis Rubini	French	unknown	unknown
Jacob Kunkel	unknown	unknown	unknown
Boris Sabaneyev	Russian	1881	1968
Charles James Dorn	unknown	1839	1909
Antoine François Marmontel	French	1816	1898
Carlo Pedini	Italian	1956	-
Brasílio Itiberê	Brazilian	1846	1913
Josef Richter	Bohemian	1880	1933
Charles Lefebvre	French	1843	1917
G. W. Marks	unknown	unknown	unknown
Guy Miaille	French	1930	-
Luigi Rago	Italian	1987	-
Eustache Du Caurroy	French	1549	1609
Alfred Fieldhouse	unknown	unknown	unknown
Toshi Nagata	Japanese	1964	-
Theodor Kullak	German	1818	1882
Joshua Branstetter	unknown	unknown	unknown
Chiquinha Gonzaga	Brazilian	1847	1935
Herrmann Scholtz	Polish	1845	1918
Percival Garratt	British	1877	1953
Désiré Émile Inghelbrecht	French	1880	1965
Ole Olsen	Norwegian	1850	1927
Claudio Martinez Imbert	Spanish	1845	1919
Harrison Joseph Steudlein	unknown	unknown	unknown
Heinrich Götze	German	1836	1906
Basil Harwood	British	1859	1949
HanS Karlsen	unknown	unknown	unknown
Friedrich Wilhelm Kalkbrenner	German	1785	1849
Werner Erich Josten	German	1885	1963
Petrini Henri	Italian	1775	1800
Girolamo Frescobaldi	Italian	1583	1643
Samuel Tudor Strang	American	1856	1921
Guy Ropartz	French	1864	1955
Adaline Shepherd	American	1883	1950
Erzherzog Rudolph	Austrian	1788	1831
Rudolf Willmers	German	1821	1878
Charles Henry Purday	British	1799	1885
F.H. Snow	unknown	unknown	unknown
Geraldine Dobyns	American	1882	1956
Robert Kahn	German	1865	1951
Ernesto Medina Elorduy	Mexican	1855	1913
Alexander von Fielitz	German	1860	1930
Louis-Albert Bourgault-Ducoudray	French	1840	1910
Jean de Castro	Belgian	1540	1611
John H. Lee	American	1847	1890
Jules Arnoud	French	1847	1890
Shigeru Kan-no	Japanese	1959	-
Khayyam Mirzazade	Azerbaijani	1935	2018
François Viger	unknown	1708	1784
Renaud Déjardin	unknown	unknown	unknown
Henri Herz	French	1803	1888
Alan Belkin	Canadian	1951	-
Ildebrando Pizzetti	Italian	1880	1968
F. J. de Boeck	Belgian	1865	1937
Tivadar Szántó	Hungarian	1877	1934
Émile Belloc	British	1870	1953
Davide C. Marney	unknown	unknown	unknown
Paul Gilson	Belgian	1865	1942
Maurice Verheul	Dutch	unknown	unknown
Maria Lluïsa Ponsa	Spanish	1878	1919
Franz Salmhofer	Austrian	1900	1975
Gustav Blessner	unknown	1808	1888
Stefaniya Zaranek	Russian	1904	1972
Marie Jaëll	French	1846	1925
Ernest Alder	unknown	1853	1904
Juliusz Wertheim	Polish	1880	1928
Emanuele Delucchi	Italian	1987	-
Matthias Weckmann	German	1616	1674
Nils Larsen	Norwegian	1888	1937
Maria Agata Szymanowska	Polish	1789	1831
Louis Gruenberg	American	1884	1964
Arthur Sullivan	British	1842	1900
Carl Maria von Weber	German	1786	1826
Tiburtio Massaino	Italian	1550	1608
Shī Hamamura	unknown	unknown	unknown
Antonio La Greca	Italian	1631	1668
T. Silveira	unknown	unknown	unknown
Hippolyte François Rabaud	French	1839	1900
Otto Kotilainen	Finnish	1868	1936
Eduard Schütt	Russian	1856	1933
Cheng-Shiun Li	unknown	unknown	unknown
Issay Dobrowen	Norwegian	1891	1953
Alessandro Liberati	Italian	1847	1927
Eric De Lamarter	American	1880	1953
Robert Rønnes	Norwegian	1959	-
William Charles Levey	British	1837	1894
Sergei Bortkiewicz	Russian	1877	1952
Karl Flodin	Finnish	1858	1925
Ilmari Hannikainen	Finnish	1892	1955
Frederick Rosse	British	1867	1940
Charles Bénet	unknown	unknown	unknown
Preston Ware Orem	American	1865	1938
Cyril Scott	British	1879	1970
Louis H. Meyer	German	1905	1988
Hector Salomon	French	1838	1906
Antonín Dvořák	Czech	1841	1904
Alban Berg	Austrian	1885	1935
Léo d' Autezac	unknown	unknown	unknown
Hilda Sehested	Danish	1858	1936
Václav Jan Tomášek	Austrian	1774	1850
Otto Keller	German	1875	1931
Louis Lacombe	French	1818	1884
Ennio Porrino	Italian	1910	1959
Tad Fischer	unknown	unknown	unknown
Tooske Hinloopen	unknown	unknown	unknown
Andy Costello	American	unknown	unknown
Jan Nepomucen Bobrowicz	Polish	1805	1881
Friedrich Peters	American	1746	1813
Andrew Violette	American	1953	-
Robert Ballard II	French	1527	1588
Francesco da Milano	Italian	1497	1543
Mario Quiroz Alcántara	unknown	unknown	unknown
Walter Charles Schad	American	1889	1966
Alessandro Giannotti	Italian	1968	-
Ferdinand Ries	German	1784	1838
Jan Ladislav Dussek	Czech	1760	1812
Vasily Prisovsky	Ukrainian	1861	1917
Ramin Kuliev	unknown	unknown	unknown
Giovanni Martinenghi	unknown	unknown	unknown
Edwin F. Kendall	American	1870	1920
Jacques-Louis Battmann	French	1818	1886
Albin Fries	Austrian	1955	-
Walter Niemann	German	1876	1953
Joseph Edouard Barat	French	1882	1963
Ferdinand David	German	1810	1873
Aitor Merino Martínez	Spanish	1995	-
Paolo A. Rismondo	Italian	unknown	unknown
Camillo Morena	unknown	1867	1940
Andrea Antonello Nacci	unknown	unknown	unknown
Théophile Stern	Russian	1803	1886
Jules Rivière	French	1819	1900
Lucien Mawet	Belgian	1875	1947
Otto Olsson	Swedish	1879	1964
Robert Walter Jacobs	unknown	unknown	unknown
Er Nie	Chinese	1912	1935
Mikalojus Konstantinas Čiurlionis	Lithuanian	1875	1911
Ludwig Grosz	unknown	unknown	unknown
Ludwig van Beethoven	German	1770	1827
François Hünten	German	1792	1878
Emil Kronke	Polish	1865	1938
Árpád Doppler	Austrian	1857	1927
Ignaz Spergher	unknown	1734	1808
Scott Joplin	American	1868	1917
Kaikhosru Shapurji Sorabji	British	1892	1988
Swan Hennessy	American	1866	1929
Francesco Paolo Tosti	Italian	1846	1916
Halina Krzyżanowska	Polish	1860	1937
Horacio Fernández	Mexican	unknown	unknown
Franz Burgmüller	German	1806	1874
David Unger	Swedish	1982	-
Gabriel J. Ackerman	unknown	unknown	unknown
Franz Paul Lachner	German	1803	1890
Stanisław Lipski	Polish	1880	1937
Ondřej Zavadil	unknown	unknown	unknown
Jacques Ibert	French	1890	1962
Andrea Gabrieli	Italian	1530	1585
Bernhard Dessau	German	1861	1923
Scotson Clark	British	1840	1883
Vladimir Rebikov	Russian	1866	1920
Théodore Lécureux	French	1829	1891
Louis Vierne	French	1870	1937
Manuel Seco de Arpe	Spanish	1958	-
Valentin Haussmann	German	1565	1614
Vicente Costa Nogueras	Spanish	1852	1919
Vítězslav Novák	Czech	1870	1949
Paul Dedieu-Péters	French	1889	1947
Ivor Gurney	British	1890	1937
Orlando Gibbons	British	1583	1625
Franz von Blon	German	1861	1945
Louise Farrenc	French	1804	1875
Carl Evers	German	1819	1875
Franz Strauss	German	1822	1905
Joseph Mazzinghi	British	1765	1844
Thomas Wright	American	1904	1943
Nicolas Joseph Hüllmandel	French	1756	1823
Arvid Kleven	Norwegian	1899	1929
Georg Carl Bohlmann	Danish	1838	1920
Jacques Offenbach	French	1819	1880
Nathan Shirley	unknown	1981	-
Anton Strelezki	British	1859	1907
Clarence Dickinson	American	1873	1969
Józef Damse	Russian	1789	1852
Charles Lindgreen	American	unknown	unknown
Maurice Ravel	French	1875	1937
Margaret Hoberg	unknown	unknown	unknown
Eduardo Ocón	Spanish	1833	1901
Anatoly Lyadov	Russian	1855	1914
Elise Wiel	unknown	1866	1926
Henri d' Aubel	French	1830	1899
Ludwig Göring	unknown	1823	1898
Edward Jakobowski	British	1856	1929
Carl Borromäus von Miltitz	German	1781	1845
Johann Friedrich Schwencke	German	1767	1822
Hector Roderick MacLean	British	1851	1935
Marcello Severo	unknown	unknown	unknown
William Blezard	British	1921	2003
Frederick Brandeis	unknown	1835	1899
Leo Torrance	unknown	unknown	unknown
James McGranahan	American	1840	1907
P. W. Newton	unknown	1868	unknown
Georges Tourneur	unknown	unknown	unknown
Berthold Tours	British	1838	1897
Alfred Bachelet	French	1864	1944
Dirk Schäfer	Dutch	1873	1931
Lloyd G. Del Castillo	unknown	1992	-
Ludwig Dill	German	1812	1887
Joachim von der Hofe	Dutch	1567	1620
Camille Saint-Saëns	French	1835	1921
Giovanni Pierluigi da Palestrina	Italian	1525	1594
Nicolas Chamié	unknown	unknown	unknown
Pauline Thys	French	1836	1909
Paul Tietjens	American	1877	1943
Norbert Burgmüller	German	1810	1836
John Hill Hewitt	American	1801	1890
Antonio Alba	Spanish	1873	1940
Francis Panormo	unknown	1764	1844
Reinhold Wilhelm Kühnel	Czech	1859	1922
Leopold Godowsky	American	1870	1938
Fernande Beauvois	unknown	unknown	unknown
Édouard Wolff	Polish	1816	1880
Zdeněk Fibich	Czech	1850	1900
Simon Gintzler	German	1505	1568
Fartein Valen	Norwegian	1887	1952
Frederick William Hird	unknown	unknown	unknown
Michio Aramaki	unknown	1965	unknown
Manuel Blasco de Nebra	Spanish	1750	1784
M. Aledo	unknown	unknown	unknown
Léon Kreutzer	French	1817	1868
María Malibrán	Spanish	1808	1836
Ralph Breitenbach	unknown	unknown	unknown
Henry Kimball Hadley	American	1871	1937
Gert Haussner	Austrian	1963	-
Adolf Jensen	German	1837	1879
Ernest Reyer	French	1823	1909
Emmanuel Rhené-Baton	French	1879	1940
Auguste Vincent	French	1829	1888
Eugène Gigout	French	1844	1925
Philipp Jakob Riotte	German	1776	1856
Juan Cabanilles	Spanish	1644	1712
Josep Gallés	Spanish	1758	1836
William Dance	British	1755	1840
Tiziano Bedetti	Italian	1976	-
Franciszek Lessel	Polish	1780	1838
Eduard Mertke	German	1833	1895
Eric Coates	British	1886	1957
Juliusz Zarębski	Polish	1854	1885
Oskar Böhme	German	1870	1938
Rudolf Friml	Czech	1879	1972
Konstantin Krystallis	unknown	unknown	unknown
Ralph Vaughan Williams	British	1872	1958
Jeremiah Clarke	British	1674	1707
Jaroslav Ježek	Czech	1906	1942
Anatoly Drozdov	Russian	1883	1950
Eduard Strauss	Austrian	1835	1916
Jean Baptiste Singelée	Belgian	1812	1875
Edward Joseph Collins	American	1886	1951
Stephane Ansons	unknown	unknown	unknown
Czech Folk Songs	Czech	unknown	unknown
Konrad Friedrich Noetel	German	1903	1947
Lev Gurilyov	Russian	1770	1844
Sydney Smith	British	1839	1889
Giuseppe Buonamici	Italian	1846	1914
Oscar J. Lehrer	unknown	1871	1941
Michał Zawadzki	Russian	1828	1887
Albert William Ketèlbey	British	1875	1959
Wilhelm Popp	German	1828	1903
Edmund Neupert	Norwegian	1842	1888
Robert Coningsby Clarke	British	1879	1934
Émile Wesly	Dutch	1887	1926
Nurtan Alan Esmen	unknown	unknown	unknown
Cesare Galeotti	Italian	1872	1929
Constantin Decker	German	1810	1878
Xavier Leroux	French	1863	1919
Juan Bautista Massa	Argentine	1885	1938
Pyotr Tchaikovsky	Russian	1840	1893
Charles Villiers Stanford	British	1852	1924
Georg Niemann	unknown	1841	1912
Louis-Désiré Besozzi	French	1814	1879
Sophie Menter	German	1846	1918
Joaquim Callado	Brazilian	1848	1880
