composer_name	nationality	birth	death
Louis Köhler	German	1820	1886
Ferdinand de Croze	French	1828	1902
Józef Stefani	Polish	1800	1876
Géza Zichy	Hungarian	1849	1924
Philippe Courras	French	1879	1941
Jāzeps Vītols	German	1863	1948
Luigi Legnani	Italian	1790	1877
Francesco Capponi	unknown	1840	1900
Hubert Bath	British	1883	1945
Konstantin Antipov	Russian	1858	1927
Edward James Loder	British	1813	1865
Conradin Kreutzer	German	1780	1849
Esther Kahn	Australian	1877	1962
Charles-Ferdinand Lenepveu	British	1840	1910
Royal Beal	unknown	unknown	unknown
John Carver Alden	unknown	unknown	unknown
Bernardino Belém de Souza	unknown	unknown	unknown
Maurice Pesse	French	1881	1943
Pierre François Olivier Aubert	French	1763	1830
Carl Haslinger	Austrian	1816	1868
Luiz Malucelll	Brazilian	unknown	unknown
Cyprian Romberg	German	1807	1865
Stanisław Niewiadomski	Ukrainian	1859	1936
John Powell	American	1882	1963
Frederick Channon Collinge	American	1867	1936
Julius Bechgaard	Danish	1843	1917
Edgard Varèse	French	1883	1965
Sergei Rachmaninoff	Russian	1873	1943
Semyon Panchenko	unknown	1867	1937
Josef Schmid	German	1868	1945
Paul Vidal	French	1863	1931
Luciano Gallet	Brazilian	1893	1931
Johann Baptist Cramer	British	1771	1858
Frédéric Crimail	French	1961	-
Walter Carroll	British	1869	1955
G. Z. Clouwez	unknown	unknown	unknown
Samuel Coleridge-Taylor	British	1875	1912
Catharinus Elling	Norwegian	1858	1942
Aleksandr Gurilyov	Russian	1803	1858
Jan Karol Gall	Polish	1856	1912
Walter Cleveland Simon	American	1884	1958
Déodat de Séverac	French	1872	1921
Youmei Xiao	Chinese	1884	1940
Frank Zintl	unknown	1957	-
Caroline Lowthian	unknown	1860	-
Vassil Spassov	unknown	unknown	unknown
Benoit Fidele Poirier	Canadian	1882	1965
Micah Hood	American	unknown	unknown
Théodore Thurner	French	1806	1845
Modest Mussorgsky	Russian	1839	1881
Gaston Borch	French	1871	1926
Charles Albert Edwin Harriss	British	1862	1929
A. Abramowitsch	unknown	unknown	unknown
Matteo Carcassi	Italian	1792	1853
Henrique Oswald	Brazilian	1852	1931
Mary Simoni	American	unknown	unknown
Alice Ellen Charbonnet	Australian	1850	1913
Maria Hester Park	British	1760	1813
Giuseppe Ottavio Pitoni	Italian	1657	1743
Gérard Reyne	unknown	unknown	unknown
Louis Charles Ragué	French	1759	1794
Havergal Brian	British	1876	1972
Woldemar Sacks	American	1950	unknown
Francesco Stoepel	French	1794	1836
Giuseppe Sarti	Italian	1729	1802
Wolfgang Carl Briegel	German	1626	1712
Lucien Joseph Edouard Hillemacher	French	1852	1933
Kurt Noack	German	1893	1945
Frederic Rzewski	American	1938	2009
Enrique Soro	Italian	1884	1954
Michael Bates	Canadian	unknown	unknown
Emile-Robert Blanchet	Swiss	1877	1943
Georges Jacob	French	1877	1950
Melchior Cortez	Brazilian	1882	1947
Georges Cuvelard	unknown	unknown	unknown
Willem Pijper	Dutch	1894	1947
Marie Wieck	German	1832	1916
Ehsan Saboohi	Iranian	1981	-
Ignacy Feliks Dobrzyński	Polish	1807	1867
John Pridham	British	1818	1896
Fritz Spindler	German	1817	1905
Arnold von Bruck	Belgian	1500	1554
Arthur Morris	Australian	1889	1980
Alfred Chenet	Canadian	1854	unknown
Paulo Couceiro	unknown	unknown	unknown
F. L. Kehren	unknown	unknown	unknown
Paul Cecchetti	Irish	unknown	unknown
Raoul Laparra	French	1876	1943
Garfield Wilson	British	1969	unknown
Jozua Schravesande	unknown	unknown	unknown
Sveinbjörn Sveinbjörnsson	Icelandic	1847	1927
Domenico Scarlatti	Italian	1685	1757
A. Kramer	American	1890	1969
Giuseppe Bencini	unknown	unknown	unknown
Mario Castelnuovo-Tedesco	Italian	1895	1968
Louis Durey	French	1888	1979
Beryl Rubinstein	American	1898	1952
Kerry Mills	American	1869	1948
Alfredo Barbirolli	French	unknown	1931
Franz Neruda	Danish	1843	1915
Maurizio Marcozzi	unknown	unknown	unknown
Alejandro García Caturla	Cuban	1906	1940
Dustin Naegel	German	1988	unknown
A. F. Wustrow	unknown	unknown	unknown
François Rasse	Belgian	1873	1955
Jordan Murray Holloway	unknown	1999	-
Benjamin Godard	French	1849	1895
Ludwig Albrecht	Russian	1844	1899
Renato Brogi	Italian	1873	1924
Émile Prudent	French	1817	1863
Paul Colberg	German	1863	1926
Thomas Dunhill	British	1877	1946
